Type,Phrase Type,Label,Topic,Parent,Label Explanation,Example Sentence,Example Source,Example Url,English,French,Spanish,Italian,Arabic
Entity,,,Taiwan,,,,,,Taiwan Affairs Office/T.A.O.,Bureau des Affaires Taiwanaises,Oficina de Asuntos de Taiwán,Ufficio per gli affari di Taiwan ,مكتب الشؤون التايوانية
Entity,,,Taiwan,,,,,,Democratic Progressive Party/D.P.P.,Parti démocrate progressiste,Partido Democrático Progresista,Partito Progressista Democratico,الحزب الديمقراطي التقدمي
Entity,,,Taiwan,,,,,,Zhu Fenglian,Zhu Fenglian,Zhu Fenglian,Zhu Fenglian,تشو فنجليان
Entity,,,Taiwan,,,,,,Ma Xiaoguang,Ma Xiaoguang,Ma Xiaoguang,Ma Xiaoguang, ما شياو قوانغ
Entity,,,Taiwan,,,,,,Kuomingtan/K.M.T./Guomindang,Kuomintang/Guomindang/Parti nationaliste chinois,Kuomingtan/Partido Nacionalista Chino,Guomindang/Partito Nazionalista Cinese,الكومينتانغ/الحزب الوطني الصيني
Entity,,,Taiwan,,,,,,Tsai Ying-wen/Tsai Yingwen/Tsai Ying Wen,Tsai Ying-wen,Tsai Ing-wen,Tsai Ying-wen,تساي إنغ ون
Entity,,,Taiwan,,,,,,Joseph Wu,Joseph Wu,Joseph Wu,Joseph Wu,جوزيف وو
Entity,,,Taiwan,,,,,,One China Principle,Principe d'une seule Chine,Principio de una China,"principio di ""Una sola Cina""",مبدأ الصين الواحدة
Entity,,,Taiwan,,,,,,Taiwan,Taiwan,Taiwán,Taiwan,تايوان
Entity,,,Taiwan,,,,,,Taiwan Relations Act,Taiwan Relations Act,Acta de Relaciones con Taiwán,Taiwan Relations Act,قانون العلاقات مع تايوان
Entity,,,Xinjiang,,,,,,Xinjiang,Xinjiang,Xinjiang,Xinjiang,شينجيانغ
Entity,,,Xinjiang,,,,,,Adrian Zenz,Adrian Zenz,Adrian Zenz,Adrian Zenz,أدريان زينز
Entity,,,Xinjiang,,,,,,Uyghur/Uighur/Uygur,Ouïghour/Ouïghours,Uigur/Uigures,Uigura/Uiguri,الأويغور
Entity,,,Xinjiang,,,,,,Joanne Smith Finley,Joanne Smith Finley,Joanne Smith Finley,Joanne Smith Finley,جوان سميث فينلي
Entity,,,Xinjiang,,,,,,Uyghur Rights Advocacy Project,Uyghur Rights Advocacy Project,Uyghur Rights Advocacy Project,Uyghur Rights Advocacy Project,مشروع الدفاع عن حقوق الأويغور
Entity,,,Xinjiang,,,,,,World Uyghur Congress,Congrès mondial ouïghour,Congreso Mundial Uigur,Congresso mondiale degli uiguri,مؤتمر الأويغور العالمي
Entity,,,Xinjiang,,,,,,Jerry Grey,Jerry Grey,Jerry Grey,Jerry Grey,جيري غراي/جيري جراي
Entity,,,Xinjiang,,,,,,Nathan Rich,Nathan Rich,Nathan Rich,Nathan Rich,ناثان ريتش
Entity,,,Xinjiang,,,,,,Hikvision,Hikvision,Hikvision,Hikvision,هيكفيجن
Entity,,,Xinjiang,,,,,,Eastern Turkistan,Turkestan oriental,Turquestán/Turkestán Orientañ,Turkestan orientale,تركستان الشرقية
Entity,,,Xinjiang,,,,,,Uyghur forced labor prevention act,Loi sur la prévention du travail forcé des Ouïghours,Acta para la Prevención de Trabajos Forzados de los Uigures,legge sulla prevenzione del lavoro forzato uiguro,قانون الأويغور لمنع العمل القسري/قانون منع العمل الجبري ضد الأويغور
Entity,,,Hong Kong,,,,,,Hong Kong,Hong Kong,Hong Kong,Hong Kong,هونج كونج
Entity,,,Hong Kong,,,,,,National Security Law,Loi sur la sécurité nationale,Ley de Seguridad Nacional,Legge sulla sicurezza nazionale,قانون الأمن القومي
Entity,,,Hong Kong,,,,,,Carrie Lam,Carrie Lam,Carrie Lam,Carrie Lam,كاري لام
Entity,,,Hong Kong,,,,,,Apple Daily,Apple Daily,Apple Daily,Apple Daily,آبل ديلي
Entity,,,Hong Kong,,,,,,Jimmy Lai,Jimmy Lai,Jimmy Lai,Jimmy Lai,جيمي لاي
Entity,,,Hong Kong,,,,,,Joshua Wong,Joshua Wong,Joshua Wong,Joshua Wong,جوشوا وونغ
Entity,,,Hong Kong,,,,,,Nathan Law,Nathan Law,Nathan Law,Nathan Law,ناثان لو
Entity,,,Hong Kong,,,,,,Hong Kong Police,Police de Hong Kong/Police hongkongaise,Policía de Hong Kong,Polizia di Hong Kong,شرطة هونغ كونغ
Entity,,,Hong Kong,,,,,,Basic Law,Loi fondamentale,Ley básica,Basic Law,القانون الأساسي
Entity,,,Hong Kong,,,,,,Sino-British Joint Declaration/Sino British Joint Declaration,Déclaration commune sino-britannique sur la question de Hong Kong,Declaración Conjunta Sino-británica,Dichiarazione congiunta sino-britannica,الإعلان الصيني البريطاني المشترك
Entity,,,Hong Kong,,,,,,University of Hong Kong,Université de Hong Kong,Universidad de Hong Kong,Università di Hong Kong,جامعة هونج كونج
Entity,,,Hong Kong,,,,,,Pillar of Shame,Pilier de la honte/Colonne de l'infamie,Pilar de la Vergüenza,Pilastro della Vergogna,عمود العار/عامود العار
Entity,,,Hong Kong,,,,,,Regional Comprehensive Economic Partnership,Partenariat économique régional global,Asociación Económica Integral Regional,Partenariato Economico Globale Regionale,الشراكة الاقتصادية الإقليمية الشاملة
Entity,,,Hong Kong,,,,,,Hong Kong Trade Development Council,conseil de développement du commerce de Hong Kong,Consejo de Desarrollo del Comercio de Hong Kong,Hong Kong Trade Development Council,مجلس تنمية تجارة هونغ كونغ
Entity,,,Hong Kong,,,,,,Hong Kong Free Press,Hong Kong Free Press,Hong Kong Free Press,Hong Kong Free Press,هونغ كونغ فري برس/مطبعة هونج كونج الحرة
Entity,,,Hong Kong,,,,,,Goddess of Democracy,Déesse de la démocratie,Diosa de la democracia,Dea della Democrazia,آلهة الديمقراطية
Entity,,,Hong Kong,,,,,,Hong Kong alliance,L'Alliance de Hong Kong pour le soutien des mouvements patriotiques démocratiques de Chine,,Alleanza di Hong Kong,تحالف هونغ كونغ
Entity,,,China,,,,,,Belt and Road Initiative,La nouvelle route de la soie,Iniciativa de la Ruta y la Seda,Iniziativa Belt and Road,مبادرة الحزام والطريق
Entity,,,China,,,,,,One Belt One Road,Une ceinture une route,Una franja una ruta,"Una cintura, una strada",حزام واحد، طريق واحد
Entity,,,Belt and Road,,,,,,Global Development Initiative,Initiative de développement global,Iniciativa de desarrollo global,iniziativa di sviluppo globale,مبادرة التنمية العالمية
Entity,,,China,,,,,,Silk Road,Route de la soie,Ruta de la Seda,Via della Seta,طريق الحرير
Entity,,,Belt and Road,,,,,,Space Information Corridor,Couloir d'information spatiale,Corredor de Información Espacial,corridoio di informazioni spaziali,ممر المعلومات الفضائية
Entity,,,Belt and Road,,,,,,Forum on China-Africa Cooperation/Forum on China Africa Cooperation,Forum sur la coopération sino-africaine,Foro de Cooperación China-África,Forum per la cooperazione sino-africana,منتدى التعاون الصيني الأفريقي
Entity,,,Belt and Road,,,,,,Build Back Better,programme Build Back Better,iniciativa Build Back Better,Build Back Better,إعادة البناء بشكل أفضل
