country,media,url,topic,phrase,label,count
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57675879,Taiwan,reunification,A,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57648236,Taiwan,territorial integrity,A,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57648236,Taiwan,alleged human rights abuses,A,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57648236,Hong Kong,alleged human rights abuses,A,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57648236,Hong Kong,pro-democracy,O,1
uk,www.bbc.com,https://www.bbc.com/news/business-57691415,Xinjiang,alleged human rights abuses,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57717141,Xinjiang,alleged human rights abuses,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57717141,China,alleged human rights abuses,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57717141,Hong Kong,alleged human rights abuses,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57717141,Hong Kong,pro-democracy,O,1
uk,www.bbc.com,https://www.bbc.com/news/business-57730884,Hong Kong,pro-democracy,O,2
uk,www.bbc.com,https://www.bbc.com/news/business-57730884,Hong Kong,democracy activist,O,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57732751,Hong Kong,pro-democracy,O,1
uk,www.bbc.com,https://www.bbc.com/news/uk-57744847,Hong Kong,pro-democracy,O,2
uk,www.bbc.com,https://www.bbc.com/news/uk-57744847,Hong Kong,democracy activist,O,1
uk,www.bbc.com,https://www.bbc.com/news/world-us-canada-57587364,Taiwan,Taiwanese,O,2
uk,www.bbc.com,https://www.bbc.com/news/world-us-canada-57587364,Hong Kong,rioters,A,2
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57780023,Xinjiang,anti-China,A,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57780023,China,anti-China,A,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57780023,Hong Kong,anti-China,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57801031,Taiwan,Taiwan's government,O,1
uk,www.bbc.com,https://www.bbc.com/news/business-57801031,Taiwan,Taiwan's president,O,1
uk,www.bbc.com,https://www.bbc.com/news/business-57801031,Taiwan,Taiwanese,O,2
uk,www.bbc.com,https://www.bbc.com/news/business-57830856,Xinjiang,alleged human rights abuses,A,1
uk,www.bbc.com,https://www.bbc.com/news/world-us-canada-57847912,Xinjiang,detention camp,O,1
uk,www.bbc.com,https://www.bbc.com/news/business-57865985,Xinjiang,anti-China,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57865985,Xinjiang,China's internal affairs,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57865985,Hong Kong,anti-China,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57865985,Hong Kong,China's internal affairs,A,1
uk,www.bbc.com,https://www.bbc.com/news/business-57865985,Hong Kong,pro-democracy,O,1
uk,www.bbc.com,https://www.bbc.com/news/business-57865985,Hong Kong,democracy movement,O,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57950720,Hong Kong,pro-democracy,O,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-57979938,Hong Kong,pro-democracy,O,2
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-58022072,Hong Kong,pro-democracy,O,1
uk,www.bbc.com,https://www.bbc.com/news/world-asia-china-58022072,Hong Kong,order in Hong Kong,A,1
