media,url,topic
www.20min.ch/fr,https://www.20minutes.fr/monde/3081815-20210711-ouighours-chine-promet-mesures-face-nouvelles-sanctions-americaines,Xinjiang
www.20min.ch/fr,https://www.20minutes.fr/monde/3081815-20210711-ouighours-chine-promet-mesures-face-nouvelles-sanctions-americaines,Hong Kong
www.20min.ch/fr,https://www.20minutes.fr/arts-stars/web/3082275-20210712-youtube-lance-nouveau-format-court-shorts-plus-100-pays,Xinjiang
www.20min.ch/fr,https://www.20minutes.fr/monde/3083863-20210714-pakistan-douze-personnes-dont-neuf-chinois-decedent-explosion-car,Huawei-TikTok
www.20min.ch/fr,https://www.20minutes.fr/high-tech/3087319-20210720-piratage-microsoft-pekin-nie-bloc-charge-etats-unis,Xinjiang
www.20min.ch/fr,https://www.20minutes.fr/high-tech/3087319-20210720-piratage-microsoft-pekin-nie-bloc-charge-etats-unis,Hong Kong
www.20min.ch/fr,https://www.20minutes.fr/monde/3088347-20210721-etats-unis-joe-biden-envoie-numero-deux-diplomatie-americaine-chine,Xinjiang
www.20min.ch/fr,https://www.20minutes.fr/monde/3088347-20210721-etats-unis-joe-biden-envoie-numero-deux-diplomatie-americaine-chine,Hong Kong
www.20min.ch/fr,https://www.20minutes.fr/monde/3088727-20210722-coronavirus-chine-rejette-toujours-etre-origine-covid-19-denonce-arrogance-oms-envers-science,China
www.20min.ch/fr,https://www.20minutes.fr/arts-stars/culture/3091983-20210727-booker-prize-poids-lourds-litterature-selectionnes-detriment-nouvelles-plumes,Huawei-TikTok
www.20min.ch/fr,https://www.20minutes.fr/monde/3092019-20210727-chine-immense-vague-sable-recouvre-ville-entiere,China
www.20min.ch/fr,https://www.20minutes.fr/monde/3094279-20210730-chine-reacteur-finalement-mis-arret-apres-incident-epr-taishan,Hong Kong
www.20min.ch/fr,https://www.20minutes.fr/monde/3103603-20210816-chine-chansons-menacent-securite-nationale-bientot-interdites-karaokes,Taiwan
www.20min.ch/fr,https://www.20minutes.fr/monde/3104831-20210818-afghanistan-pays-talibans-pourraient-bientot-entretenir-relations-diplomatiques,Xinjiang
www.20min.ch/fr,https://www.20minutes.fr/monde/3108687-20210825-etats-unis-kamala-harris-vietnam-fond-crise-afghane-tensions-chine,Xinjiang
www.20min.ch/fr,https://www.20minutes.fr/monde/3108687-20210825-etats-unis-kamala-harris-vietnam-fond-crise-afghane-tensions-chine,China
www.20min.ch/fr,https://www.20minutes.fr/monde/3108687-20210825-etats-unis-kamala-harris-vietnam-fond-crise-afghane-tensions-chine,Hong Kong
www.20min.ch/fr,https://www.20minutes.fr/monde/3110343-20210827-chine-barre-milliard-internautes-franchit-premiere-fois,Xinjiang
www.20min.ch/fr,https://www.20minutes.fr/high-tech/3111019-20210828-intelligence-artificielle-algorithmes-utilises-plateformes-viseur-chine,Huawei-TikTok
www.20min.ch/fr,https://www.20minutes.fr/monde/3110779-20210828-coronavirus-renseignement-americain-divise-origine-covid-19-doute-cree-genetiquement,China
www.20min.ch/fr,https://www.20minutes.fr/monde/3120771-20210910-hong-kong-elus-locaux-pretent-nouveau-serment-loyaute-centaines-demissionnent,Hong Kong
www.20min.ch/fr,https://www.20minutes.fr/monde/3120707-20210910-etats-unis-chine-premiere-conversation-telephonique-sept-mois-entre-biden-xi-jinping,China
www.20min.ch/fr,https://www.20minutes.fr/high-tech/3117987-20210910-tablettes-meilleures-remplacer-ordinateur-divertir,Huawei-TikTok
