media,url,topic
www.20minutos.es,https://www.20minutos.es/noticia/4754745/0/parlamento-europeo-ue-borrell-corrupcion-sanciones-derechos-humanos-rusia-china/,Xinjiang
www.20minutos.es,https://www.20minutos.es/noticia/4756179/0/china-confisca-2-2-toneladas-de-escamas-de-pangolin-en-la-frontera-con-vietnam/,China
www.20minutos.es,https://www.20minutos.es/noticia/4757300/0/la-inmunidad-entre-infectados-de-covid-dura-12-meses-y-es-mas-fuerte-entre-hombres-y-menores-de-55-anos/,China
www.20minutos.es,https://www.20minutos.es/noticia/4764973/0/tras-israel-y-francia-china-se-plantea-poner-una-dosis-de-refuerzo-de-pfizer-a-la-poblacion-vacunada/,China
www.20minutos.es,https://www.20minutos.es/noticia/4764973/0/tras-israel-y-francia-china-se-plantea-poner-una-dosis-de-refuerzo-de-pfizer-a-la-poblacion-vacunada/,Hong Kong
www.20minutos.es,https://www.20minutos.es/deportes/noticia/4769308/0/barca-rompe-negociaciones-hm-para-evitar-conflicto-politico-china/,Xinjiang
www.20minutos.es,https://www.20minutos.es/deportes/noticia/4769308/0/barca-rompe-negociaciones-hm-para-evitar-conflicto-politico-china/,Hong Kong
www.20minutos.es,https://www.20minutos.es/noticia/4770754/0/covid-paraliza-fabricas-proveedores-grandes-companias-nike-adidas-vietnam/,Taiwan
www.20minutos.es,https://www.20minutos.es/noticia/4773987/0/la-us-recibe-el-certificado-de-concesion-del-instituto-confucio-en-una-ceremonia-celebrada-en-pekin/,China
www.20minutos.es,https://www.20minutos.es/noticia/4774422/0/dramatico-rescate-china-bebe-meses-atrapado-escombros-inundaciones/,China
www.20minutos.es,https://www.20minutos.es/cinemania/series/amazon-serie-tiktok-narra-historias-lgtbiqa-reales-4778464/,Huawei-TikTok
www.20minutos.es,https://www.20minutos.es/noticia/4784753/0/china-restringe-los-viajes-al-extranjero-de-sus-ciudadanos-por-el-covid-19/,China
www.20minutos.es,https://www.20minutos.es/noticia/4785495/0/rebrote-china-eleva-precio-materiales-industriales/,China
www.20minutos.es,https://www.20minutos.es/noticia/4789240/0/la-variante-delta-continua-extendiendose-en-china-que-extrema-precauciones-ante-su-peor-cifra-de-covid-en-todo-el-ano/,China
www.20minutos.es,https://www.20minutos.es/tecnologia/moviles-dispositivos/honor-magic3-magic3-pro-y-magic3-pro-tres-moviles-premium-de-enormes-modulos-simbolizan-la-nueva-era-honor-4791647/,Huawei-TikTok
www.20minutos.es,https://www.20minutos.es/deportes/noticia/4793880/0/china-manipula-el-medallero-olimpico-de-tokio-2020-para-superar-a-estados-unidos/,Taiwan
www.20minutos.es,https://www.20minutos.es/deportes/noticia/4793880/0/china-manipula-el-medallero-olimpico-de-tokio-2020-para-superar-a-estados-unidos/,Hong Kong
www.20minutos.es,https://www.20minutos.es/noticia/4799978/0/tension-entre-estados-unidos-y-china-tras-las-acusaciones-de-intimidacion-de-kamala-harris-durante-su-gira-por-asia/,Taiwan
www.20minutos.es,https://www.20minutos.es/noticia/4799978/0/tension-entre-estados-unidos-y-china-tras-las-acusaciones-de-intimidacion-de-kamala-harris-durante-su-gira-por-asia/,China
www.20minutos.es,https://www.20minutos.es/noticia/4800619/0/inteligencia-eeuu-origen-covid-19/,China
www.20minutos.es,https://www.20minutos.es/noticia/4822420/0/un-grupo-de-cientificos-resuelve-el-misterio-historico-y-astronomico-de-la-estrella-invitada-china-de-1181/,Hong Kong
www.20minutos.es,https://www.20minutos.es/tecnologia/actualidad/la-ultima-guerra-entre-rusia-y-china-esta-en-el-fondo-del-mar-estos-paises-luchan-por-controlar-los-cables-submarinos-4821460/,Huawei-TikTok
www.20minutos.es,https://www.20minutos.es/tecnologia/actualidad/los-primeros-inquilinos-de-la-futura-estacion-espacial-china-aterrizan-en-la-tierra-despues-de-tres-meses-en-orbita-4824050/,China
www.20minutos.es,https://www.20minutos.es/cinemania/noticias/para-alivio-de-hollywood-dune-y-sin-tiempo-para-morir-si-podran-estrenarse-en-china-4826060/,Taiwan
www.20minutos.es,https://www.20minutos.es/cinemania/noticias/para-alivio-de-hollywood-dune-y-sin-tiempo-para-morir-si-podran-estrenarse-en-china-4826060/,Hong Kong
www.20minutos.es,https://www.20minutos.es/noticia/4827495/0/josep-pique-en-unir-la-ue-debe-pasar-a-la-madurez-y-no-dejar-la-defensa-de-los-intereses-comunes-en-manos-de-ee-uu/,Taiwan
www.20minutos.es,https://www.20minutos.es/noticia/4829525/0/evergrande-la-caida-de-un-gigante-inmobiliario-que-china-debe-frenar-para-evitar-grandes-cataclismos/,China
www.20minutos.es,https://www.20minutos.es/noticia/4831858/0/blackrock-hsbc-ubs-grandes-tenedoras-bonos-evergrande/,China
www.20minutos.es,https://www.20minutos.es/tecnologia/ciberseguridad/lituania-aconseja-a-sus-ciudadanos-que-no-empleen-moviles-xiaomi-y-huawei-por-miedo-al-espionaje-4831880/,Huawei-TikTok
www.20minutos.es,https://www.20minutos.es/tecnologia/ciberseguridad/lituania-aconseja-a-sus-ciudadanos-que-no-empleen-moviles-xiaomi-y-huawei-por-miedo-al-espionaje-4831880/,Taiwan
www.20minutos.es,https://www.20minutos.es/tecnologia/actualidad/podemos-llenar-europa-de-fabricas-de-semiconductores-para-combatir-la-escasez-de-chips-esta-es-la-idea-de-la-ue-4834672/,Taiwan
www.20minutos.es,https://www.20minutos.es/noticia/4848729/0/estados-unidos-entrena-en-secreto-por-orden-de-trump-a-tropas-de-taiwan-en-medio-de-las-tensiones-con-china/,Taiwan
www.20minutos.es,https://www.20minutos.es/noticia/4848769/0/tambores-de-guerra-en-oriente-entre-estados-unidos-y-china-ante-los-rumores-de-una-invasion-de-taiwan/,Taiwan
www.20minutos.es,https://www.20minutos.es/noticia/4848769/0/tambores-de-guerra-en-oriente-entre-estados-unidos-y-china-ante-los-rumores-de-una-invasion-de-taiwan/,Xinjiang
www.20minutos.es,https://www.20minutos.es/noticia/4848769/0/tambores-de-guerra-en-oriente-entre-estados-unidos-y-china-ante-los-rumores-de-una-invasion-de-taiwan/,China
www.20minutos.es,https://www.20minutos.es/noticia/4848769/0/tambores-de-guerra-en-oriente-entre-estados-unidos-y-china-ante-los-rumores-de-una-invasion-de-taiwan/,Hong Kong
www.20minutos.es,https://www.20minutos.es/noticia/4850799/0/de-santiago-de-chile-a-boecillo-una-aventura-editorial-para-acercar-la-literatura-latinoamericana-y-china-a-espana/,China
www.20minutos.es,https://www.20minutos.es/tecnologia/actualidad/una-nueva-ley-europea-de-chips-llegara-en-2022-lo-que-se-quiere-conseguir-con-ella-y-los-beneficios-que-nos-puede-traer-4851118/,Taiwan
www.20minutos.es,https://www.20minutos.es/noticia/4852890/0/china-realiza-maniobras-militares-cerca-de-taiwan-para-salvaguardar-la-seguridad-nacional-y-la-soberania-en-plena-escalada-de-tension/,Taiwan
www.20minutos.es,https://www.20minutos.es/tecnologia/actualidad/china-probo-en-secreto-un-misil-hipersonico-con-capacidad-nuclear-en-agosto-4858409/,Taiwan
