media,url,topic
www.ansa.it,http://www.ansa.it/sito/notizie/cultura/arte/2021/11/11/a-brescia-la-cina-non-e-vicina-del-dissidente-badiucao_0ad9ac14-0edd-4600-975a-a8b8f6ed16cb.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/cultura/arte/2021/11/11/a-brescia-la-cina-non-e-vicina-del-dissidente-badiucao_0ad9ac14-0edd-4600-975a-a8b8f6ed16cb.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/economia/2021/11/15/borsa-asia-in-ordine-sparso-dopo-dati-macro-tokyo-056_07a5d350-3548-4c59-93ee-4b89089e4c15.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/economia/2021/11/15/borsa-asia-in-ordine-sparso-dopo-dati-macro-tokyo-056_07a5d350-3548-4c59-93ee-4b89089e4c15.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/economia/2021/11/15/borsa-asia-in-ordine-sparso-dopo-dati-macro-tokyo-056_07a5d350-3548-4c59-93ee-4b89089e4c15.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/2021/11/15/cina-bambini-tra-i-3-e-gli-11-anni-tutti-vaccinati-entro-2021-_722a3d5e-0069-4ce2-8a68-8666c5114c3a.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/15/cina-contro-blinken-su-taiwan-parole-sbagliate_644fee6e-fd77-494e-8054-1f61b8e3c391.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/nordamerica/2021/11/15/cina-contro-blinken-su-taiwan-parole-sbagliate_55bc4a9b-418e-4aa2-b153-27f8376b21dc.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/asia/2021/11/15/cina-contro-blinken-su-taiwan-parole-sbagliate_91e4649f-2be9-4018-bfa5-cbb3a001e5f2.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/flash/2021/11/16/-xi-a-bidencercare-indipendenza-taiwan-e-giocare-con-fuoco-_c8cc79de-8cf7-4ec9-85f5-cf11061a9c63.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/flash/2021/11/16/-xi-a-bidencercare-indipendenza-taiwan-e-giocare-con-fuoco-_c8cc79de-8cf7-4ec9-85f5-cf11061a9c63.html,Xinjiang
www.ansa.it,http://www.ansa.it/sito/notizie/flash/2021/11/16/-xi-a-bidencercare-indipendenza-taiwan-e-giocare-con-fuoco-_c8cc79de-8cf7-4ec9-85f5-cf11061a9c63.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/flash/2021/11/16/-xi-a-bidencercare-indipendenza-taiwan-e-giocare-con-fuoco-_c8cc79de-8cf7-4ec9-85f5-cf11061a9c63.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/16/ansa-biden-xi-evitiamo-conflitti.-ma-e-scontro-su-taiwan_5df4a86e-2f77-4539-be54-4fb9e29e5c04.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/16/ansa-biden-xi-evitiamo-conflitti.-ma-e-scontro-su-taiwan_5df4a86e-2f77-4539-be54-4fb9e29e5c04.html,Xinjiang
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/16/ansa-biden-xi-evitiamo-conflitti.-ma-e-scontro-su-taiwan_5df4a86e-2f77-4539-be54-4fb9e29e5c04.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/nordamerica/2021/11/16/ansa-biden-xi-evitiamo-conflitti.-ma-e-scontro-su-taiwan_9129b75d-b59c-42e6-88f0-7bb031ad6e46.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/nordamerica/2021/11/16/ansa-biden-xi-evitiamo-conflitti.-ma-e-scontro-su-taiwan_9129b75d-b59c-42e6-88f0-7bb031ad6e46.html,Xinjiang
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/nordamerica/2021/11/16/ansa-biden-xi-evitiamo-conflitti.-ma-e-scontro-su-taiwan_9129b75d-b59c-42e6-88f0-7bb031ad6e46.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/16/xi-la-riunificazione-di-taiwan-e-missione-storica-del-pcc_11c62af7-d2a9-4916-98ac-bec56f79ef5e.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/asia/2021/11/16/xi-la-riunificazione-di-taiwan-e-missione-storica-del-pcc_67825037-fa18-45fc-a0cd-cf7b0968d07f.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/asia/2021/11/16/xi-a-hong-kong-repressione-contro-caos-per-portare-ordine_0f3209a7-6dfe-4bfa-a8a7-77de72cd8e49.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/asia/2021/11/16/xi-a-hong-kong-repressione-contro-caos-per-portare-ordine_0f3209a7-6dfe-4bfa-a8a7-77de72cd8e49.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/16/xi-a-hong-kong-repressione-contro-caos-per-portare-ordine_922fac8d-0266-465d-bfa6-1a9293be2d2c.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/16/xi-a-hong-kong-repressione-contro-caos-per-portare-ordine_922fac8d-0266-465d-bfa6-1a9293be2d2c.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/17/usa-cina-accordo-per-allentare-restrizioni-su-giornalisti_fdc589bc-2e41-4e9e-97d0-fc05c51b9a8b.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/economia/2021/11/18/borsa-asia-in-calo-con-tecnologici-tonfo-evergrande_467ac74c-c1b8-4ebb-94be-c43c154c233e.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/economia/2021/11/18/borsa-asia-in-calo-con-tecnologici-tonfo-evergrande_467ac74c-c1b8-4ebb-94be-c43c154c233e.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/cronaca/2021/11/18/inchiesta-pivetti-sequestrati-4mln-a-ex-presidente-della-camera_58cc1682-ba3e-40f8-b566-6ecbab79a66f.html,Hong Kong
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/2021/11/18/cina-scetticismo-su-autenticita-della-mail-della-tennista-peng_9c88216f-bf12-4380-ab44-58c4ba806a3c.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/19/wta-minaccia-di-lasciare-cina-chiarezza-su-tennista-peng_e565a562-4011-4784-a8f8-a00b0a35816f.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/sport/tennis/2021/11/19/wta-minaccia-di-lasciare-cina-chiarezza-su-tennista-peng_aebffd19-81c0-4f3d-8b36-35da289b1ca6.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/sport/tennis/2021/11/19/la-wta-minaccia-di-lasciare-cina-pechino-chiarisca-sulla-scomparsa-della-tennista-peng-_af5a108a-2007-4507-952b-7a033333a295.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/asia/2021/11/19/cina-lituania-paghera-per-i-suoi-errori-su-taiwan_ce323598-8e8f-4168-965c-bf41b7760298.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/19/cina-lituania-paghera-per-i-suoi-errori-su-taiwan_c3e0a516-62d4-4035-938b-a12872682b1d.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/asia/2021/11/19/onu-cina-dica-dove-si-trova-tennista-peng-e-se-sta-bene_723d55cf-3b13-4113-8194-2e07ae50853c.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/2021/11/19/onu-cina-dica-dove-si-trova-tennista-peng-e-se-sta-bene_c169b306-1bfc-4b73-8b1c-c4b658360f26.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/20/media-cina-pubblicano-2-video-di-peng-ma-dubbi-su-autenticita_3e382b5b-4e74-4a32-a94c-4b52b6fd5742.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/asia/2021/11/20/media-cina-pubblicano-2-video-di-peng-ma-dubbi-su-autenticita_b0ddcba2-e16c-4d3b-8e62-62d1db636482.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/21/taiwan-cina-declassa-relazioni-diplomatiche-con-lituania_fee6c410-f16c-4159-87ac-369a942de74b.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/mondo/asia/2021/11/21/taiwan-cina-declassa-relazioni-diplomatiche-con-lituania_49ebe095-c158-414e-95f2-47d1761ad6fe.html,Taiwan
www.ansa.it,http://www.ansa.it/sito/notizie/sport/tennis/2021/11/21/tennis-la-peng-appare-in-immagini-evento-pubblico-a-pechino_4704f182-8366-4c68-bb71-460ee3e31591.html,China
www.ansa.it,http://www.ansa.it/sito/notizie/topnews/2021/11/21/tennis-la-peng-appare-in-immagini-evento-pubblico-a-pechino_81fc4e89-ba48-43cd-9794-5251ef1ff3e0.html,China
