media,url,topic
www.corriere.it,https://www.corriere.it/esteri/21_luglio_01/monito-xi-mondo-centenario-partito-la-cina-grande-muraglia-d-acciaio-c97f735a-da3f-11eb-b90a-fb70429ba8fb.shtml,Taiwan
www.corriere.it,https://www.corriere.it/esteri/21_luglio_01/monito-xi-mondo-centenario-partito-la-cina-grande-muraglia-d-acciaio-c97f735a-da3f-11eb-b90a-fb70429ba8fb.shtml,Hong Kong
www.corriere.it,https://www.corriere.it/la-lettura/21_luglio_02/barack-obama-cerco-giovani-eroi-oggi-nell-app-de-la-lettura-192dd95a-db5d-11eb-a708-517ad1a2ece3.shtml,Taiwan
www.corriere.it,https://bergamo.corriere.it/notizie/cultura-e-spettacoli/21_luglio_03/bergamo-incisioni-piranesi-mostra-biblioteca-mai-8fe333ae-dbcd-11eb-acdd-ea59277529b6.shtml,China
www.corriere.it,https://www.corriere.it/cronache/21_luglio_07/giovanni-allevi-spesso-rido-senza-motivo-corsa-mi-da-sicurezza-d0531c80-df59-11eb-a9e5-b60d2f6601bd.shtml,China
www.corriere.it,https://www.corriere.it/tecnologia/21_luglio_07/cina-vuole-usare-riconoscimento-facciale-impedire-bambini-giocare-videogiochi-notte-9de79ece-deff-11eb-a9e5-b60d2f6601bd.shtml,Hong Kong
www.corriere.it,https://www.corriere.it/editoriali/21_luglio_08/perche-biden-mostra-muscoli-la-cina-piu-trump-f0b3d172-e003-11eb-b24b-5a8781b79240.shtml,Huawei-TikTok
www.corriere.it,https://www.corriere.it/editoriali/21_luglio_08/perche-biden-mostra-muscoli-la-cina-piu-trump-f0b3d172-e003-11eb-b24b-5a8781b79240.shtml,Taiwan
www.corriere.it,https://www.corriere.it/editoriali/21_luglio_08/perche-biden-mostra-muscoli-la-cina-piu-trump-f0b3d172-e003-11eb-b24b-5a8781b79240.shtml,Xinjiang
www.corriere.it,https://www.corriere.it/editoriali/21_luglio_08/perche-biden-mostra-muscoli-la-cina-piu-trump-f0b3d172-e003-11eb-b24b-5a8781b79240.shtml,Hong Kong
www.corriere.it,https://www.corriere.it/opinioni/21_luglio_08/guerra-fredda-dati-finanza-usa-cina-48dc1f70-dfec-11eb-b24b-5a8781b79240.shtml,Hong Kong
www.corriere.it,https://www.corriere.it/esteri/21_luglio_09/elisabetta-ii-set-tv-dei-record-buckingham-palace-apre-pic-nic-48a5e098-e0b6-11eb-a3a3-22bff11f91b7.shtml,China
www.corriere.it,https://www.corriere.it/sport/calcio/europei/21_luglio_11/italia-inghilterra-europei-2021-finale-risultato-partita-diretta-wembley-1b78b844-e263-11eb-a101-49a08d5b8f51.shtml,China
www.corriere.it,https://www.corriere.it/salute/21_luglio_12/coronavirus-ultime-notizie-dall-italia-mondo-covid-8719a026-e2f0-11eb-aa6d-02d6b05969fd.shtml,China
www.corriere.it,https://www.corriere.it/tecnologia/21_luglio_12/youtube-shorts-italia-video-tiktok-reel-1d808fa8-e1dd-11eb-ae33-1af84bf6220d.shtml,Huawei-TikTok
www.corriere.it,https://www.corriere.it/sette/esteri/21_luglio_16/i-boccioli-mao-torta-xi-cosi-parlo-parla-cina-5bd4861c-e271-11eb-a101-49a08d5b8f51.shtml,China
www.corriere.it,https://roma.corriere.it/notizie/cronaca/21_luglio_16/dorso-roma-pag-5-aprecentrocorriere-web-roma-d63a4e1e-e5af-11eb-b02e-abf05f14a13d.shtml,China
www.corriere.it,https://www.corriere.it/opinioni/21_luglio_17/di-maio-quelle-notizie-cina-51fdcc50-e70f-11eb-9bf6-eea1575c4502.shtml,Xinjiang
www.corriere.it,https://www.corriere.it/opinioni/21_luglio_17/di-maio-quelle-notizie-cina-51fdcc50-e70f-11eb-9bf6-eea1575c4502.shtml,China
www.corriere.it,https://www.corriere.it/cronache/21_luglio_17/uomo-che-chiede-poter-morire-soffro-troppo-stato-mi-ignora-miei-familiari-mi-hanno-capito-db6c7c5e-e66d-11eb-bb0b-66fa8228d756.shtml,China
