media,url,topic
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9743653/Chinas-celebrates-centenary-Communist-Party-anniversary-British-handover-Hong-Kong.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9743653/Chinas-celebrates-centenary-Communist-Party-anniversary-British-handover-Hong-Kong.html,Xinjiang
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9743653/Chinas-celebrates-centenary-Communist-Party-anniversary-British-handover-Hong-Kong.html,China
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9743653/Chinas-celebrates-centenary-Communist-Party-anniversary-British-handover-Hong-Kong.html,Hong Kong
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9745355/Nigel-Farage-denies-anti-lockdown-entrepreneur-leaked-Hancock-kiss.html,Xinjiang
www.dailymail.co.uk,https://www.dailymail.co.uk/sciencetech/article-9745927/TikTok-ditches-60-second-limit-let-users-post-videos-three-minutes-long.html,Huawei-TikTok
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9746669/Elon-Musk-slammed-praising-China-truly-amazing.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9746669/Elon-Musk-slammed-praising-China-truly-amazing.html,China
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9746669/Elon-Musk-slammed-praising-China-truly-amazing.html,Hong Kong
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9751585/How-Wimbledon-star-Emma-Raducanu-practised-dad-sweated-levels-way-SW19-success.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9753455/Road-Montenegro-1-billion-pocket-China-botched-270-mile-highway.html,China
www.dailymail.co.uk,https://www.dailymail.co.uk/femail/article-9754251/How-new-British-tennis-sensation-Emma-Raducanu-earn-millions-endorsements.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9755269/Emma-Raducanu-18-set-sponsorship-millions-Wimbledon-showdown-looms.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9755531/China-prepares-Afghanistan-following-Americas-departure-Belt-Road-program.html,China
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9756485/Taliban-tell-NATO-September-11-treated-occupying-forces.html,China
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9756991/Mark-Zuckerbergs-cringeworthy-Fourth-July-surfing-video-gets-meme-treatment.html,Huawei-TikTok
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9757599/Wimbledon-golden-girl-Emma-Raducanu-18-practices-coach-ahead-todays-Court-One-showdown.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/sport/sportsnews/article-9758075/Wimbledon-2021-Rain-dampens-spirits-downpour-delays-Emma-Raducanus-match.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/sport/sportsnews/article-9758605/Wimbledon-2021-Fans-fury-John-McEnroe-says-got-bit-Emma-Raducanu.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9758939/Fears-al-Qaeda-resurgence-UK-troops-forced-Afghanistan.html,China
www.dailymail.co.uk,https://www.dailymail.co.uk/tvshowbiz/article-9758867/Netflix-pulls-Australian-series-Pine-Gap-Vietnam-library.html,China
www.dailymail.co.uk,https://www.dailymail.co.uk/sport/sportsnews/article-9760409/Im-proud-Emma-Raducanus-father-praises-teenage-tennis-ace-quit-Wimbledon-run.html,Taiwan
www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9761205/Japan-vows-defend-Taiwan-alongside-China-invades-island-next.html,Taiwan
