media,url,topic
www.hindustantimes.com,https://www.hindustantimes.com/world-news/tesla-ceo-elon-musk-encourages-people-to-visit-china-gets-advice-from-rights-activist-101625137562148.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/tesla-ceo-elon-musk-encourages-people-to-visit-china-gets-advice-from-rights-activist-101625137562148.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/tesla-ceo-elon-musk-encourages-people-to-visit-china-gets-advice-from-rights-activist-101625137562148.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/xi-jinping-warns-foreign-foes-not-to-mess-with-china-101625132666361.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/xi-jinping-warns-foreign-foes-not-to-mess-with-china-101625132666361.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/xi-jinping-warns-foreign-foes-not-to-mess-with-china-101625132666361.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-celebrates-100-years-of-communist-party-with-events-at-tiananmen-square-101625101561129.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/xi-jinping-hails-irreversible-rise-of-china-at-100th-birthday-of-communist-party-101625105536917.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/xi-jinping-hails-irreversible-rise-of-china-at-100th-birthday-of-communist-party-101625105536917.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/xi-jinping-hails-irreversible-rise-of-china-at-100th-birthday-of-communist-party-101625105536917.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/on-100th-anniversary-key-things-to-know-about-china-s-communist-party-101625113146834.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/us-govt-warns-of-dangers-of-systemic-racism-in-human-trafficking-report-101625168415435.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/imran-khan-again-ignores-china-s-treatment-of-uighurs-101625190434534.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/imran-khan-again-ignores-china-s-treatment-of-uighurs-101625190434534.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/us-donates-2-5-million-doses-of-moderna-s-mrna-vaccine-to-pakistan-101625236225487.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/us-adds-turkey-14-other-countries-to-child-soldiers-prevention-act-list-in-its-human-trafficking-report-101625247950025.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-urges-nations-to-construct-a-great-wall-against-covid19-101625310452333.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/thailand-sees-record-single-day-spike-of-over-6-200-new-covid-19-cases-101625275591679.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/bla-sets-afire-installations-of-chinese-telcos-in-pak-s-quetta-report-101625326464556.html,Huawei-TikTok
www.hindustantimes.com,https://www.hindustantimes.com/world-news/unfavourable-views-regarding-china-on-the-rise-across-world-pew-study-shows-101625248609979.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/unfavourable-views-regarding-china-on-the-rise-across-world-pew-study-shows-101625248609979.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/chinese-astronauts-conduct-spacewalk-101625408043174.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-puts-brakes-on-didi-app-downloads-over-data-violation-charges-101625473809507.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/eye-on-india-chinese-prez-promotes-border-commander-to-rank-of-general-101625505311467.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/eye-on-india-chinese-prez-promotes-border-commander-to-rank-of-general-101625505311467.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/uyghur-community-in-france-protests-against-china-s-atrocities-in-xinjiang-101625559317872.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/uyghur-community-in-france-protests-against-china-s-atrocities-in-xinjiang-101625559317872.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/uyghur-community-in-france-protests-against-china-s-atrocities-in-xinjiang-101625559317872.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/quad-summit-in-october-rising-china-on-agenda-101625580126433.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/quad-summit-in-october-rising-china-on-agenda-101625580126433.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-irked-by-japan-deputy-pm-s-comments-on-protecting-taiwan-101625594142818.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/republicans-condemn-chinese-state-media-for-mocking-july-4-violence-in-us-101625675841447.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/republicans-condemn-chinese-state-media-for-mocking-july-4-violence-in-us-101625675841447.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/lead-sinovac-scientist-dies-of-suspected-covid-19-as-indonesia-mulls-booster-shot-101625741466427.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-to-safeguard-its-firms-against-us-blacklist-101625817378348.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-to-safeguard-its-firms-against-us-blacklist-101625817378348.html,China
www.hindustantimes.com,https://www.hindustantimes.com/lifestyle/travel/covid19-travel-update-seoul-tightens-social-distancing-rules-chile-eases-curb-101625795893410.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/lifestyle/travel/covid19-travel-update-seoul-tightens-social-distancing-rules-chile-eases-curb-101625795893410.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/11-armed-suspects-try-to-break-into-taiwan-embassy-in-haiti-arrested-101625840237104.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/hungary-concerned-over-efficacy-of-china-s-sinopharm-vaccine-101625842378752.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-evacuates-210-nationals-from-afghanistan-amid-us-troops-pullout-101625814627798.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/taliban-calls-china-a-friend-promises-not-to-host-uyghur-militants-in-afghanistan-report-101625926382725.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/hong-kong-unnerved-by-chinese-security-law-citizens-doubt-their-futures-101625894860141.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/with-afghan-pullout-us-ditches-forever-wars-101625973856034.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/with-afghan-pullout-us-ditches-forever-wars-101625973856034.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-blames-us-for-afghan-crisis-101626030047818.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/white-house-to-warn-us-companies-about-hong-kong-risks-101626197834872.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/white-house-to-warn-us-companies-about-hong-kong-risks-101626197834872.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-operating-military-flights-from-south-china-sea-bases-report-101626252671446.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-operating-military-flights-from-south-china-sea-bases-report-101626252671446.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-asks-taliban-to-make-clean-break-from-terrorists-return-to-mainstream-101626254774269.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-asks-taliban-to-make-clean-break-from-terrorists-return-to-mainstream-101626254774269.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/india-news/what-is-space-rice-china-harvests-1st-batch-of-seeds-that-travelled-around-moon-101626229101405.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/wont-turn-blind-eye-us-senate-passes-bill-to-ban-goods-from-china-s-xinjiang-101626333791400.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/9-chinese-nationals-killed-in-pakistan-bus-blast-101626292909483.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/hong-kong-national-security-police-raids-student-union-office-101626428443613.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/eu-sets-uyghur-and-hong-kong-conditions-for-investment-agreement-101626401920345.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/eu-sets-uyghur-and-hong-kong-conditions-for-investment-agreement-101626401920345.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/reputational-legal-damages-us-warns-firms-of-risk-of-doing-business-in-hong-kong-101626451081410.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/reputational-legal-damages-us-warns-firms-of-risk-of-doing-business-in-hong-kong-101626451081410.html,Hong Kong
www.hindustantimes.com,https://www.hindustantimes.com/world-news/philippines-challenges-chinese-warship-in-south-china-sea-101626687631055.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/thailand-switching-to-chinese-vaccines-due-to-lack-of-astrazeneca-supplies-101626686560374.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/ins-airavat-carrying-covid-aid-to-indonesia-delayed-tweets-jaishankar-101626708745525.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/to-tackle-income-inequality-china-teaches-billionaires-lesson-in-generosity-101626667866110.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-threatens-to-nuke-japan-over-taiwan-in-video-report-101626785921884.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/china-threatens-to-nuke-japan-over-taiwan-in-video-report-101626785921884.html,China
www.hindustantimes.com,https://www.hindustantimes.com/world-news/us-deputy-state-secretary-to-visit-china-as-tensions-soar-101626870620728.html,Taiwan
www.hindustantimes.com,https://www.hindustantimes.com/world-news/us-deputy-state-secretary-to-visit-china-as-tensions-soar-101626870620728.html,Xinjiang
www.hindustantimes.com,https://www.hindustantimes.com/world-news/us-deputy-state-secretary-to-visit-china-as-tensions-soar-101626870620728.html,China
