media,url,topic
www.independent.co.uk,https://www.independent.co.uk/news/world/americas/us-politics/firmly-in-control-chinas-communist-party-marks-centenary-communist-party-xi-jinping-china-tiananmen-square-hong-kong-b1875966.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/news/world/americas/us-politics/firmly-in-control-chinas-communist-party-marks-centenary-communist-party-xi-jinping-china-tiananmen-square-hong-kong-b1875966.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/hong-kongs-no-2-official-says-security-law-allows-freedoms-hong-kong-chinese-beijing-police-carrie-lam-b1875986.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/as-it-turns-100-chinas-ruling-party-grooms-new-faithful-mao-zedong-xi-jinping-communist-party-china-deng-xiaoping-b1875990.html,China
www.independent.co.uk,https://www.independent.co.uk/news/as-it-turns-100-chinas-ruling-party-grooms-new-faithful-mao-zedong-xi-jinping-communist-party-china-deng-xiaoping-b1875990.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/nkoreas-kim-vows-to-boost-china-ties-amid-pandemic-hardship-kim-jong-un-china-south-korea-seoul-xi-jinping-b1876005.html,China
www.independent.co.uk,https://www.independent.co.uk/news/indonesia-holds-mass-vaccination-to-scale-up-virus-fight-indonesia-covid-red-cross-jakarta-bekasi-b1876013.html,China
www.independent.co.uk,https://www.independent.co.uk/news/asian-shares-mostly-decline-ahead-of-watched-us-jobs-report-asian-federal-reserve-shanghai-composite-kospi-bank-of-japan-b1876030.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/world/americas/ap-news-digest-335-am-joe-biden-donald-trump-jill-biden-bill-cosby-miami-b1876073.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/ap-photos-beijing-hong-kong-mark-communist-party-centenary-beijing-hong-kong-communist-party-tiananmen-square-xi-jinping-b1876146.html,Taiwan
www.independent.co.uk,https://www.independent.co.uk/news/ap-photos-beijing-hong-kong-mark-communist-party-centenary-beijing-hong-kong-communist-party-tiananmen-square-xi-jinping-b1876146.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/who-decision-challenges-west-to-recognize-chinese-vaccines-covid-who-chinese-european-union-china-b1876332.html,China
www.independent.co.uk,https://www.independent.co.uk/asia/china/china-xi-jinping-communist-party-anniversary-b1876220.html,Taiwan
www.independent.co.uk,https://www.independent.co.uk/asia/china/china-xi-jinping-communist-party-anniversary-b1876220.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/asia/china/china-xi-jinping-communist-party-anniversary-b1876220.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/independentpremium/china-xi-jinping-ccp-anniversary-mao-b1876129.html,Taiwan
www.independent.co.uk,https://www.independent.co.uk/life-style/gadgets-and-tech/elon-musk-heaps-praise-on-china-s-economic-success-b1876655.html,China
www.independent.co.uk,https://www.independent.co.uk/news/world/americas/ap-news-digest-6-pm-bill-cosby-donald-trump-joe-biden-charles-koch-liz-cheney-b1876713.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/hong-kong-police-officers-condition-improves-after-stabbing-hong-kong-carrie-lam-national-peoples-congress-police-chinese-b1876819.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/the-latest-india-confirms-400k-dead-half-in-past-2-months-india-covid-new-delhi-who-seoul-b1876820.html,China
www.independent.co.uk,https://www.independent.co.uk/news/world/americas/ap-news-digest-350-am-afghanistan-bagram-airfield-amber-heard-more-donald-trump-b1876864.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/asia/china/apple-daily-hk-next-digital-memo-b1876817.html,Taiwan
www.independent.co.uk,https://www.independent.co.uk/asia/china/apple-daily-hk-next-digital-memo-b1876817.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/global-shares-rise-china-falls-after-tough-talk-from-xi-xi-jinping-chinese-communist-party-hong-kong-china-shanghai-b1876945.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/china-rejects-us-criticism-on-human-trafficking-china-washington-beijing-malaysia-nicaragua-b1876973.html,China
www.independent.co.uk,https://www.independent.co.uk/arts-entertainment/films/news/chinese-propaganda-film-1921-opening-day-b1876998.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/asia/east-asia/hong-kong-lone-wolf-terrorist-attack-b1876985.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/asia/south-asia/imran-khan-uyghur-china-pakistan-b1876925.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/asia/south-asia/imran-khan-uyghur-china-pakistan-b1876925.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/thai-virus-surge-prompts-concern-over-icus-vaccine-supply-thai-covid-bangkok-experts-astrazeneca-b1877272.html,China
www.independent.co.uk,https://www.independent.co.uk/news/france-probes-claims-that-retailers-used-forced-uyghur-labor-french-uniqlo-xinjiang-china-inditex-b1877290.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/news/france-probes-claims-that-retailers-used-forced-uyghur-labor-french-uniqlo-xinjiang-china-inditex-b1877290.html,China
www.independent.co.uk,https://www.independent.co.uk/news/france-probes-claims-that-retailers-used-forced-uyghur-labor-french-uniqlo-xinjiang-china-inditex-b1877290.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/despite-ally-donations-few-venezuelans-get-covid19-vaccine-nicolas-maduro-covid-caracas-cuban-havana-b1877443.html,China
www.independent.co.uk,https://www.independent.co.uk/news/some-chinese-shun-grueling-careers-for-lowdesire-life-work-chinese-shanghai-beijing-dali-b1877790.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/explainer-why-china-is-investigating-tech-firms-like-didi-china-didi-chinese-explainer-new-york-b1878297.html,China
www.independent.co.uk,https://www.independent.co.uk/news/world/europe/press-watchdog-puts-hungarian-pm-orban-on-predators-list-reporters-without-borders-press-mohammed-bin-salman-paris-orban-b1878410.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/asian-shares-mixed-as-opec-plus-talks-stalemate-us-closed-asian-tokyo-south-korea-australia-japan-b1878708.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/asian-shares-mixed-as-opec-talks-stalemate-us-closed-opec-asian-tokyo-south-korea-australia-b1878743.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/asia/cambodia-pet-lion-hun-sen-b1878792.html,Huawei-TikTok
www.independent.co.uk,https://www.independent.co.uk/asia/cambodia-pet-lion-hun-sen-b1878792.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/news/world/europe/ap-news-digest-7-am-japan-commander-medics-afghanistan-john-mcenroe-b1878907.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/business/news/hong-kong-privacy-law-facebook-google-b1878886.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/world/asia/hong-kong-protest-latest-bruce-lee-riot-police-water-a9045311.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/asia/east-asia/japan-taiwan-china-invasion-war-b1878871.html,Taiwan
www.independent.co.uk,https://www.independent.co.uk/asia/east-asia/japan-taiwan-china-invasion-war-b1878871.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/travel/asia/hong-kong/american-lawyer-jailed-hong-kong-b1878920.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/australia-denies-interfering-in-chinas-pacific-vaccine-help-papua-new-guinea-south-pacific-australia-china-canberra-b1879008.html,China
www.independent.co.uk,https://www.independent.co.uk/news/explainer-why-china-is-investigating-tech-firms-like-didi-didi-china-chinese-explainer-new-york-b1879150.html,China
www.independent.co.uk,https://www.independent.co.uk/asia/east-asia/terror-plot-teens-arrested-hong-kong-b1879087.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/blinken-meets-uyghur-exdetainees-us-warns-of-new-sanctions-xinjiang-muslims-china-washington-mike-pompeo-b1879354.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/news/blinken-meets-uyghur-exdetainees-us-warns-of-new-sanctions-xinjiang-muslims-china-washington-mike-pompeo-b1879354.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/uk/politics/boris-johnson-world-cup-2030-b1879475.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/news/asian-stocks-follow-wall-st-lower-on-weak-us-services-data-asian-beijing-wall-st-cabinet-hong-kong-b1879494.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/aussie-treasurer-national-interests-come-first-with-china-china-australian-white-house-aussie-huawei-b1879511.html,Huawei-TikTok
www.independent.co.uk,https://www.independent.co.uk/news/uk/politics/winter-olympics-beijing-china-boycott-b1879037.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/asia/china/us-china-taiwan-kurt-campbell-b1879664.html,Taiwan
www.independent.co.uk,https://www.independent.co.uk/asia/china/us-china-taiwan-kurt-campbell-b1879664.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/asia/china/uk-government-urged-ban-xinjiang-imports-b1879838.html,Huawei-TikTok
www.independent.co.uk,https://www.independent.co.uk/asia/china/uk-government-urged-ban-xinjiang-imports-b1879838.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/news/hearings-in-hong-kong-subversion-trial-extended-to-september-hong-kong-beijing-asian-british-b1880350.html,Hong Kong
www.independent.co.uk,https://www.independent.co.uk/news/world/americas/us-politics/white-house-taiwan-china-flag-tweet-b1880756.html,Taiwan
www.independent.co.uk,https://www.independent.co.uk/news/china-slams-olympic-boycott-call-politicization-of-sports-china-beijing-british-xinjiang-communist-party-b1880865.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/news/china-slams-olympic-boycott-call-politicization-of-sports-china-beijing-british-xinjiang-communist-party-b1880865.html,China
www.independent.co.uk,https://www.independent.co.uk/news/china-evacuates-nationals-from-afghanistan-amid-us-pullout-china-afghanistan-beijing-kabul-global-times-b1880930.html,China
www.independent.co.uk,https://www.independent.co.uk/world/china-boycott-mps-calls-olympic-games-b1880540.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/world/china-boycott-mps-calls-olympic-games-b1880540.html,China
www.independent.co.uk,https://www.independent.co.uk/news/the-latest-afghanistan-set-to-get-donated-vaccines-from-us-unicef-afghanistan-covid-south-korea-more-b1881059.html,Taiwan
www.independent.co.uk,https://www.independent.co.uk/news/china-criticizes-us-moves-to-expand-financial-sanctions-china-joe-biden-beijing-donald-trump-washington-b1881117.html,China
www.independent.co.uk,https://www.independent.co.uk/news/world/taliban-china-afghanistan-us-b1881076.html,Xinjiang
www.independent.co.uk,https://www.independent.co.uk/news/world/taliban-china-afghanistan-us-b1881076.html,China
www.independent.co.uk,https://www.independent.co.uk/arts-entertainment/films/news/ashton-kutcher-tiktok-south-china-sea-b1880969.html,Huawei-TikTok
