media,url,topic
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20210816/7664262/purga-china-karaoke.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/economia/20211114/7858111/xavier-ferras-mundo-plano.html,China
www.lavanguardia.com,https://www.lavanguardia.com/lacontra/20211115/7861924/apuesten-tecnologia-capten-talentos-tendran-todas.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211115/7862117/biden-xi-primera-cumbre-china-ee-uu.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211115/7862117/biden-xi-primera-cumbre-china-ee-uu.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211115/7862117/biden-xi-primera-cumbre-china-ee-uu.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211116/7864776/biden-xi-encuentro-virtual-distension-cooperacion.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/economia/20211116/7864285/podredumbre-sistema-bancario-chino.html,China
www.lavanguardia.com,https://www.lavanguardia.com/economia/20211116/7864285/podredumbre-sistema-bancario-chino.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/vida/20211116/7864788/7-noticias-tienes-saber-hoy-martes-16-noviembre-pmv.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211116/7864814/xi-advierte-biden-medidas-contundentes-taiwan-lineas-rojasojas.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211116/7864814/xi-advierte-biden-medidas-contundentes-taiwan-lineas-rojasojas.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211116/7864814/xi-advierte-biden-medidas-contundentes-taiwan-lineas-rojasojas.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211116/7864814/xi-advierte-biden-medidas-contundentes-taiwan-lineas-rojasojas.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211116/7867268/biden-xi-rebajan-temperatura.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211116/7867268/biden-xi-rebajan-temperatura.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211116/7867268/biden-xi-rebajan-temperatura.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211117/7866984/biden-xi-dialogo-encuentro-virtual-choque-taiwan.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211117/7866984/biden-xi-dialogo-encuentro-virtual-choque-taiwan.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211117/7866984/biden-xi-dialogo-encuentro-virtual-choque-taiwan.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211117/7866984/biden-xi-dialogo-encuentro-virtual-choque-taiwan.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/deportes/tenis/20211117/7867894/osaka-reacciona-desaparicion-tenista-china-peng-shuai.html,China
www.lavanguardia.com,https://www.lavanguardia.com/deportes/20211118/7870305/preocupacion-paradero-peng-shuai-tenis-china-metoo.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/vanguardia-dossier/revista/20211118/7820009/lucha-oculta-polos.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/vanguardia-dossier/revista/20211118/7820009/lucha-oculta-polos.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/deportes/20211119/7873167/wta-amenaza-retirarse-china-caso-peng-shuai.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/deportes/20211119/7873167/wta-amenaza-retirarse-china-caso-peng-shuai.html,China
www.lavanguardia.com,https://www.lavanguardia.com/deportes/20211119/7873167/wta-amenaza-retirarse-china-caso-peng-shuai.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/deportes/tenis/20211119/7873765/onu-pide-saber-donde-esta-peng-shuai-tenista-desaparecida.html,China
www.lavanguardia.com,https://www.lavanguardia.com/deportes/tenis/20211119/7874780/peng-shuai-china-desaparecida.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/deportes/tenis/20211119/7874780/peng-shuai-china-desaparecida.html,China
www.lavanguardia.com,https://www.lavanguardia.com/economia/20211120/7872240/gobierno-china-capital-tecnologicas-control-the-economist.html,Huawei-TikTok
www.lavanguardia.com,https://www.lavanguardia.com/historiayvida/20211120/7851513/bruce-lee-leyenda-artes-marciales.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/deportes/20211121/7877451/videos-tenista-china-desaparecida-peng-shuai.html,China
www.lavanguardia.com,https://www.lavanguardia.com/deportes/20211121/7878223/presidente-coi-habla-peng-shuai-esta-sana-salva-casa-pekin.html,China
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211122/7876845/dilemas-afganos.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211122/7876845/dilemas-afganos.html,China
www.lavanguardia.com,https://www.lavanguardia.com/local/barcelona/20211123/7881093/reservas-mobile-ise-superan-expectativas.html,Huawei-TikTok
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211125/7887152/graves-disturbios-islas-salomon-gobierno.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211125/7887627/pueblo-manda.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211126/7889196/bruselas-plantea-exigir-dosis-refuerzo-viajar-ue.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211127/7891635/politico-gris-foco-metoo-zhang-gaoli.html,China
www.lavanguardia.com,https://www.lavanguardia.com/historiayvida/edad-moderna/20211127/7885924/espadas-catanas-piratas-mares-sur-imperio-espanol.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211127/7892558/islas-salomon-muertos-protestas-violentas.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211128/7893705/alemania-gobierno-scholz-europa-china-rusia-claves.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211128/7893705/alemania-gobierno-scholz-europa-china-rusia-claves.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211128/7893705/alemania-gobierno-scholz-europa-china-rusia-claves.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211129/7895120/china-rusia-biden-cumbre-virtual-democracia-taiwan.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/series/20211129/7897421/disney-censura-los-simpson-episodio-china-hong-kong.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211130/7897777/renovar-democracia.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211130/7897777/renovar-democracia.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/participacion/cartas/20211130/7896085/dos-anos-covid-norte-africa.html,China
www.lavanguardia.com,https://www.lavanguardia.com/tecnologia/20211204/7906714/biologo-suizo-wilson-edwards-no-existe-facebook-desinformacion-coronavirus-pmv.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211206/7912714/estados-unidos-boicot-juegos-olimpicos-china.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211206/7912714/estados-unidos-boicot-juegos-olimpicos-china.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/economia/20211207/7912764/evergrande-desploma-admitir-no-puede-pagar-deuda.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211207/7913269/china-condena-boicot-eeuu-juegos-invierno.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211207/7914727/biden-aprieta-putin-bolsillo-deje-paz-ucrania.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211208/7914923/gendarme-aun-cuenta.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211208/7915139/australia-boicot-juegos-olimpicos-china.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211208/7915139/australia-boicot-juegos-olimpicos-china.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211209/7916357/bruselas-municion-ataques-comerciales-ue.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211209/7916831/record-periodistas-encarcelados-cpj.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211209/7917159/condena-jimmy-lai-vigila-tiananmen-hong-kong.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211210/7918553/eficacia-dictaduras.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211210/7918553/eficacia-dictaduras.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211210/7919318/nicaragua-rompe-relaciones-diplomaticas-taiwan-china.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211210/7918977/enemigo-externo-enemigo-interno.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211210/7918977/enemigo-externo-enemigo-interno.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211211/7921425/nicaragua-rompe-taiwan-restablece-relaciones-china.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211213/7924887/carcel-jimmy-lai-vigilia-tiananmen-hong-kong.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211213/7925004/nicaragua-recibira-millon-vacunas-chinas-romper-taiwan.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211213/7925004/nicaragua-recibira-millon-vacunas-chinas-romper-taiwan.html,China
www.lavanguardia.com,https://www.lavanguardia.com/economia/20211213/7925022/gwm-china-nissan-zona-franca-descarta-fabrica.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211214/7928011/ee-uu-blinken-influencia-sudeste-asiatico-china.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211215/7931112/putin-rusia-xi-china-videoconferencia-refuerzan-amistad-otan-ee-uu.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211217/7935091/propagandista-jefe-retira.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211217/7935091/propagandista-jefe-retira.html,Xinjiang
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211217/7935091/propagandista-jefe-retira.html,China
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211217/7935091/propagandista-jefe-retira.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211218/7937794/soberania-tecnologica-europa.html,China
www.lavanguardia.com,https://www.lavanguardia.com/opinion/20211219/7939329/mundo-cabeza.html,Taiwan
www.lavanguardia.com,https://www.lavanguardia.com/internacional/20211219/7939584/abstencion-unica-incognita-elecciones-hong-kong.html,Hong Kong
www.lavanguardia.com,https://www.lavanguardia.com/deportes/tenis/20211219/7940657/nuevas-imagenes-peng-shuai-reaparece-yao-ming.html,China
