media,url,topic
www.ndtv.com,https://www.ndtv.com/world-news/china-news-a-new-law-in-china-will-cut-homework-tutoring-pressure-on-students-2584999,China
www.ndtv.com,https://www.ndtv.com/world-news/us-sabotaging-china-pakistan-economic-corridor-pakistan-pms-aide-2586013,China
www.ndtv.com,https://www.ndtv.com/india-news/china-strengthens-land-border-protection-with-new-law-amid-row-with-india-2586061,Xinjiang
www.ndtv.com,https://www.ndtv.com/world-news/china-aims-to-cut-fossil-energy-use-to-below-20-by-2060-2586417,China
www.ndtv.com,https://www.ndtv.com/india-news/india-sri-lanka-bilateral-defence-cooperation-indian-navys-first-training-squadron-comprising-6-ships-arrives-in-sri-lanka-2586911,China
www.ndtv.com,https://www.ndtv.com/world-news/china-xi-jinping-china-will-uphold-world-peace-xi-jinping-asserts-amid-tensions-with-taiwan-2586927,Taiwan
www.ndtv.com,https://www.ndtv.com/world-news/china-xi-jinping-china-will-uphold-world-peace-xi-jinping-asserts-amid-tensions-with-taiwan-2586927,China
www.ndtv.com,https://www.ndtv.com/world-news/taiwan-us-relations-china-taiwan-relations-taiwan-us-discuss-un-participation-ahead-of-key-anniversary-2586961,Taiwan
www.ndtv.com,https://www.ndtv.com/world-news/hong-kong-china-news-blaming-china-imposed-security-law-amnesty-shutters-hong-kong-offices-2586986,Hong Kong
www.ndtv.com,https://www.ndtv.com/world-news/china-coronavirus-china-covid-china-delta-variant-100-day-olympic-countdown-in-beijing-amid-boycott-calls-as-covid-weighs-2587102,Xinjiang
www.ndtv.com,https://www.ndtv.com/world-news/china-coronavirus-china-covid-china-delta-variant-100-day-olympic-countdown-in-beijing-amid-boycott-calls-as-covid-weighs-2587102,Hong Kong
www.ndtv.com,https://www.ndtv.com/world-news/global-rules-cant-be-written-by-individual-countries-chinas-swipe-at-us-2587458,Xinjiang
www.ndtv.com,https://www.ndtv.com/world-news/global-rules-cant-be-written-by-individual-countries-chinas-swipe-at-us-2587458,China
www.ndtv.com,https://www.ndtv.com/world-news/global-rules-cant-be-written-by-individual-countries-chinas-swipe-at-us-2587458,Hong Kong
www.ndtv.com,https://www.ndtv.com/world-news/china-puts-lanzhou-city-of-4-million-under-covid-lockdown-2588084,China
www.ndtv.com,https://www.ndtv.com/world-news/how-taiwans-model-soldiers-pointed-guns-at-china-from-secret-bunkers-2587844,Taiwan
www.ndtv.com,https://www.ndtv.com/world-news/chinas-mystery-authoritative-person-resurfaces-to-explain-crackdowns-2587922,China
www.ndtv.com,https://www.ndtv.com/world-news/pakistan-prime-minister-imran-khan-dials-chinese-president-xi-vows-to-boost-bilateral-economic-ties-2588303,China
www.ndtv.com,https://www.ndtv.com/world-news/chinas-xi-jinping-calls-for-new-progress-in-military-equipment-weapons-2588529,China
www.ndtv.com,https://www.ndtv.com/world-news/china-taiwan-china-us-relations-china-taiwan-relations-getting-worse-conflict-with-china-global-threat-taiwan-minister-warns-2588778,Taiwan
www.ndtv.com,https://www.ndtv.com/world-news/us-president-joe-biden-joins-us-asean-summit-donald-trump-skipped-after-2017-2588787,China
www.ndtv.com,https://www.ndtv.com/world-news/ahead-of-cop26-summit-china-releases-action-plan-to-peak-carbon-dioxide-emissions-before-2030-2588810,China
www.ndtv.com,https://www.ndtv.com/world-news/us-secretary-of-state-antony-blinken-urges-all-un-member-states-to-support-taiwan-participation-2588947,Taiwan
www.ndtv.com,https://www.ndtv.com/world-news/didnt-give-information-to-chinas-government-tiktok-tells-us-lawmakers-2589013,Huawei-TikTok
www.ndtv.com,https://www.ndtv.com/indians-abroad/will-hold-china-accountable-for-bidensreligious-rights-post-pick-2589140,Xinjiang
www.ndtv.com,https://www.ndtv.com/india-news/india-expresses-concern-over-new-chinese-law-on-land-border-2589894,China
