media,url,topic
www.news18.com,http://www.news18.com/news/opinion/efficacy-of-chinese-vaccine-questioned-after-seychelles-records-surge-in-covid-cases-3912791.html,China
www.news18.com,https://www.news18.com/news/opinion/efficacy-of-chinese-vaccine-questioned-after-seychelles-records-surge-in-covid-cases-3912791.html,China
www.news18.com,http://www.news18.com/news/opinion/on-pokhran-tests-vajpayee-jaswant-singh-got-better-of-china-its-strategy-to-isolate-india-3913346.html,China
www.news18.com,https://www.news18.com/news/opinion/on-pokhran-tests-vajpayee-jaswant-singh-got-better-of-china-its-strategy-to-isolate-india-3913346.html,China
www.news18.com,https://www.news18.com/news/opinion/green-pass-play-in-european-countries-recognising-covishield-a-win-for-indias-coercive-power-3915143.html,China
www.news18.com,https://www.news18.com/news/opinion/as-ccp-turns-100-xi-jinping-must-know-that-no-country-can-singlehandedly-take-on-the-world-3927605.html,China
www.news18.com,https://www.news18.com/news/opinion/as-ccp-turns-100-xi-jinping-must-know-that-no-country-can-singlehandedly-take-on-the-world-3927605.html,Hong Kong
www.news18.com,https://www.news18.com/news/opinion/as-china-tightens-grip-over-hong-kong-verdicts-of-islands-judiciary-must-reflect-national-will-3928139.html,Taiwan
www.news18.com,https://www.news18.com/news/opinion/as-china-tightens-grip-over-hong-kong-verdicts-of-islands-judiciary-must-reflect-national-will-3928139.html,Hong Kong
www.news18.com,https://www.news18.com/news/opinion/ccp100-xi-led-china-battling-worst-global-perception-370-million-chinese-saying-tuidang-3928619.html,Xinjiang
www.news18.com,https://www.news18.com/news/opinion/ccp100-xi-led-china-battling-worst-global-perception-370-million-chinese-saying-tuidang-3928619.html,Hong Kong
www.news18.com,https://www.news18.com/news/opinion/was-india-the-real-target-of-chinas-covid-warfare-3936761.html,China
www.news18.com,https://www.news18.com/news/opinion/how-india-lost-lanka-to-china-starting-with-strategic-blunders-during-indira-regime-3956843.html,China
www.news18.com,https://www.news18.com/news/opinion/how-india-lost-lanka-to-china-starting-with-strategic-blunders-during-indira-regime-3956843.html,Hong Kong
www.news18.com,https://www.news18.com/news/opinion/all-is-not-well-for-china-and-its-expansionist-designs-in-the-neighbourhood-3977591.html,China
www.news18.com,https://www.news18.com/news/opinion/like-japan-in-1940s-xis-china-now-has-to-choose-between-3-strategic-options-3981206.html,Taiwan
www.news18.com,https://www.news18.com/news/opinion/like-japan-in-1940s-xis-china-now-has-to-choose-between-3-strategic-options-3981206.html,China
www.news18.com,https://www.news18.com/news/opinion/like-japan-in-1940s-xis-china-now-has-to-choose-between-3-strategic-options-3981206.html,Hong Kong
